Year 1,Make 1,Vehicle Type,Engine Cylinders,Engine Size,Drive Type,Core Based Statistical Area Type,Gender Code,Person Exact Age,Home Purchase Price,Home Fireplaces,Home Bath,Home Land Depth Footage,Home Land Front Footage,Home Improvement Value,Home Year Built,Home Base Square Footage,Home Total Value,Estimated Current Home Value,BehaviorBank: Interest in Automotive,MOR Bank Male Sports Magazine,MOR Bank Do-It-Yourselfers,Book Reader,BehaviorBank: Interest in Gourmet Cooking,BehaviorBank: Interest in Sports,BehaviorBank: Interest in the Outdoors,BehaviorBank: Pet Enthusiast,Est. Household Income V5,Person Marital Status,Number of Persons in LU,Number of Adults in LU,BehaviorBank: Interest in Foreign Travel,BehaviorBank: Presence of Premium Credit Card,CAPE: Age: Pop: Median Age,MOR Bank Do-It-Yourselfers,BehaviorBank: Interest in Reading,BehaviorBank: Interest in Travel,BehaviorBank: Cat Enthusiast,Home Total Rooms,BehaviorBank: Computer Owner,BehaviorBank: Investor,BehaviorBank: Interest in Domestic Travel,Auto In The Market: Used,Auto In The Market: New,CAPE: Inc: HH: Median Family Household Income,BehaviorBank: Cruise Enthusiasts,BehaviorBank: Contributes to Charities,Home Swimming Pool Indicator
2014.0,1.0,1.0,6.0,3.6,1.0,1.0,2.0,50.0,99.0,1.0,20.0,0.0,0.0,133.0,1997.0,15.0,141.0,191294.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,4.0,0.0,0.0,4100.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,74832.0,0.0,0.0,0.0
2010.0,1.0,1.0,6.0,3.5,1.0,1.0,1.0,61.0,85.0,0.0,0.0,0.0,0.0,85.0,1996.0,10.0,120.0,142802.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,0.0,0.0,3400.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,2.0,100462.0,0.0,0.0,0.0
1990.0,1.0,3.0,6.0,2.9,1.0,1.0,1.0,46.0,0.0,0.0,20.0,117.0,65.0,95.0,1971.0,0.0,117.0,132203.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,6.0,5.0,0.0,0.0,2800.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,39705.0,0.0,0.0,0.0
1999.0,0.0,1.0,4.0,1.9,1.0,1.0,1.0,64.0,0.0,0.0,20.0,145.0,80.0,95.0,1963.0,10.0,127.0,137180.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4200.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,6.0,1.0,60155.0,0.0,1.0,0.0
1995.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,53.0,0.0,0.0,20.0,0.0,0.0,162.0,2006.0,13.0,187.0,221681.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,2.0,0.0,0.0,4200.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,80272.0,0.0,0.0,0.0
2004.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,10.0,1989.0,9.0,49.0,86998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,0.0,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,58506.0,0.0,0.0,0.0
2014.0,1.0,4.0,6.0,3.6,1.0,1.0,2.0,75.0,0.0,0.0,10.0,200.0,100.0,41.0,1950.0,13.0,51.0,81774.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,4900.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,7.0,4.0,79999.0,1.0,1.0,0.0
2002.0,1.0,2.0,8.0,4.7,2.0,1.0,2.0,53.0,0.0,1.0,30.0,0.0,0.0,265.0,2002.0,13.0,375.0,418065.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,4400.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,103392.0,0.0,0.0,0.0
2012.0,1.0,1.0,4.0,1.8,1.0,1.0,2.0,55.0,154.0,0.0,20.0,0.0,0.0,127.0,1996.0,0.0,150.0,191411.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,3.0,2.0,1.0,1.0,3000.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,78683.0,1.0,1.0,0.0
2002.0,1.0,4.0,6.0,3.8,1.0,2.0,1.0,60.0,41.0,0.0,10.0,0.0,0.0,41.0,1974.0,0.0,46.0,144373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,7.0,76861.0,0.0,0.0,0.0
2013.0,1.0,2.0,4.0,1.6,1.0,1.0,1.0,34.0,349.0,1.0,30.0,0.0,0.0,280.0,2014.0,0.0,350.0,366621.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,94122.0,0.0,0.0,0.0
2001.0,1.0,4.0,6.0,3.3,1.0,1.0,1.0,61.0,158.0,2.0,30.0,140.0,153.0,163.0,1957.0,22.0,218.0,259184.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,4.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0,1.0,63461.0,0.0,0.0,0.0
2001.0,1.0,4.0,6.0,3.3,1.0,3.0,2.0,45.0,0.0,0.0,10.0,0.0,0.0,55.0,1981.0,0.0,74.0,102751.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,4600.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,7.0,54999.0,0.0,0.0,0.0
1994.0,0.0,3.0,6.0,3.0,2.0,1.0,1.0,44.0,236.0,2.0,20.0,0.0,0.0,154.0,1987.0,6.0,192.0,231210.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,3.0,0.0,0.0,2900.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,2.0,84247.0,0.0,0.0,0.0
2008.0,1.0,2.0,4.0,2.3,1.0,1.0,1.0,48.0,175.0,1.0,20.0,0.0,0.0,122.0,2000.0,16.0,165.0,184575.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,4.0,4.0,0.0,0.0,4400.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,71919.0,0.0,1.0,0.0
1989.0,1.0,3.0,8.0,5.7,1.0,1.0,2.0,52.0,0.0,0.0,30.0,137.0,85.0,96.0,1962.0,13.0,131.0,137389.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,1.0,5.0,4.0,0.0,0.0,3600.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,5.0,56131.0,0.0,1.0,0.0
2005.0,2.0,1.0,4.0,2.4,1.0,1.0,1.0,60.0,430.0,1.0,30.0,0.0,0.0,376.0,2012.0,0.0,400.0,453131.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,5.0,0.0,0.0,2700.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,8.0,1.0,59106.0,0.0,0.0,0.0
2007.0,2.0,1.0,6.0,2.8,1.0,1.0,1.0,50.0,0.0,0.0,20.0,0.0,0.0,100.0,1979.0,0.0,150.0,197378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,82414.0,0.0,0.0,0.0
2013.0,1.0,2.0,6.0,3.5,1.0,1.0,2.0,54.0,113.0,1.0,20.0,0.0,0.0,104.0,1991.0,17.0,116.0,135337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,8.0,2.0,69573.0,0.0,0.0,0.0
2003.0,1.0,1.0,8.0,4.6,1.0,1.0,2.0,61.0,0.0,1.0,10.0,0.0,0.0,5.0,1970.0,0.0,20.0,202831.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,3.0,0.0,0.0,4300.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,58999.0,0.0,0.0,0.0
2012.0,1.0,1.0,6.0,3.6,1.0,1.0,1.0,51.0,210.0,1.0,40.0,0.0,0.0,172.0,2014.0,0.0,209.0,210924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,2.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,74413.0,0.0,0.0,0.0
2005.0,1.0,2.0,6.0,3.7,2.0,1.0,1.0,45.0,539.0,0.0,30.0,0.0,0.0,323.0,2004.0,0.0,486.0,547473.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,5.0,1.0,1.0,4400.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,97891.0,0.0,1.0,1.0
